HomeTeam,AwayTeam,Elo_H_before,Elo_A_before,Home_adv_elo,H2H_score,H2H_GS_H_total,H2H_GS_A_total,H2H_GS_H_avg,H2H_GS_A_avg,GoalsScore_H,GoalsAgainst_H,GoalDifference_H,WinStreak_H,LoseStreak_H,Wins_H,Losses_H,WinRate_H,GoalsScore_H_avg,GoalsAgainst_H_avg,GoalsScore_A,GoalsAgainst_A,GoalDifference_A,WinStreak_A,LoseStreak_A,Wins_A,Losses_A,WinRate_A,GoalsScore_A_avg,GoalsAgainst_A_avg,Elo_diff,Elo_ratio,Goals_likelyhood_H,Goals_likelyhood_A,Home_adv_elo_sum,HomeTeam_code,AwayTeam_code
Chelsea,Leicester,1641.33892,1454.032862,127.5,4,9,4,1.8,0.8,8,6,2,0,1,3,1,0.6,1.6,1.2,6,6,0,1,0,2,2,0.4,1.2,1.2,187.3060574,1.128818311,2.8,2.4,1768.83892,5,10
Tottenham,Bournemouth,1565.549759,1586.826287,7.5,0,9,7,1.8,1.4,3,12,-9,0,2,0,4,0,0.6,2.4,4,3,1,0,1,2,1,0.4,0.8,0.6,-21.27652821,0.986591772,1.2,3.2,1573.049759,17,2
Man United,Arsenal,1541.950054,1746.962161,-22.5,-4,4,10,0.8,2,4,9,-5,0,3,0,4,0,0.8,1.8,10,6,4,1,0,2,1,0.4,2,1.2,-205.0121067,0.88264651,2,3.8,1519.450054,13,0
West Ham,Newcastle,1528.585579,1657.056402,-52.5,-2,8,12,1.6,2.4,7,7,0,1,0,1,2,0.2,1.4,1.4,12,5,7,1,0,3,1,0.6,2.4,1,-128.4708237,0.922470458,2.4,3.8,1476.085579,18,14
Everton,West Ham,1573.959804,1528.585579,-22.5,-1,3,6,0.6,1.2,6,6,0,1,0,2,2,0.4,1.2,1.2,7,7,0,0,1,1,2,0.2,1.4,1.4,45.37422516,1.029683798,2.6,2.6,1551.459804,7,18
Ipswich,Nott'm Forest,1453.768898,1574.404585,-82.5,-2,2,5,1,2.5,2,12,-10,0,2,0,4,0,0.4,2.4,5,7,-2,0,0,1,2,0.2,1,1.4,-120.6356868,0.923376946,1.8,3.4,1371.268898,9,15
Man City,Brighton,1766.258676,1595.794221,97.5,1,10,6,2,1.2,10,3,7,0,0,4,0,0.8,2,0.6,11,9,2,2,0,3,1,0.6,2.2,1.8,170.4644548,1.106821075,3.8,2.8,1863.758676,12,4
Southampton,Wolves,1365.877665,1523.196733,-82.5,-5,3,10,0.6,2,2,7,-5,0,1,0,3,0,0.4,1.4,8,5,3,0,2,3,2,0.6,1.6,1,-157.3190684,0.896717827,1.4,3,1283.377665,16,19
Bournemouth,Brentford,1586.826287,1592.687461,7.5,-4,6,11,1.2,2.2,4,6,-2,0,2,1,2,0.2,0.8,1.2,13,8,5,0,1,4,1,0.8,2.6,1.6,-5.861174215,0.996319947,2.4,3.8,1594.326287,2,3
Arsenal,Chelsea,1746.962161,1641.33892,7.5,3,12,4,2.4,0.8,10,7,3,0,0,1,1,0.2,2,1.4,7,4,3,1,0,4,1,0.8,1.4,0.8,105.623241,1.064351877,2.8,2.8,1754.462161,0,5
Fulham,Tottenham,1561.143628,1565.549759,67.5,0,6,4,1.2,0.8,7,9,-2,1,0,2,3,0.4,1.4,1.8,5,14,-9,0,1,0,4,0,1,2.8,-4.406130144,0.99718557,4.2,2.8,1628.643628,8,17
Leicester,Man United,1454.032862,1541.950054,67.5,-4,1,11,0.2,2.2,6,8,-2,0,0,1,2,0.2,1.2,1.6,5,12,-7,0,2,0,4,0,1,2.4,-87.91719168,0.942983113,3.6,2.6,1521.532862,10,13
Arsenal,Fulham,1746.962161,1561.143628,7.5,1,9,6,1.8,1.2,10,7,3,0,0,1,1,0.2,2,1.4,4,8,-4,0,2,1,4,0.2,0.8,1.6,185.8185324,1.119027186,3.6,2.2,1754.462161,0,8
Wolves,West Ham,1523.196733,1528.585579,37.5,-1,4,7,0.8,1.4,6,7,-1,0,3,2,3,0.4,1.2,1.4,7,7,0,0,1,1,2,0.2,1.4,1.4,-5.388845865,0.996474619,2.6,2.8,1560.696733,19,18
