HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,B365>2.5,B365<2.5,AHh
Liverpool,Fulham,2,2,1.5,2.63,-1.5
Newcastle,Leicester,4,0,1.44,2.75,-1.5
Wolves,Ipswich,1,2,1.73,2.1,-0.5
Nott'm Forest,Aston Villa,2,1,1.9,2,0
Brighton,Crystal Palace,1,3,1.73,2.1,-0.5
Man City,Man United,1,2,1.44,2.75,-1
Chelsea,Brentford,2,1,1.33,3.4,-1.5
Southampton,Tottenham,0,5,1.3,3.5,0.75
Bournemouth,West Ham,1,1,1.53,2.5,-0.75
Aston Villa,Man City,2,1,1.57,2.38,0.25
Brentford,Nott'm Forest,0,2,1.73,2.1,-0.25
Ipswich,Newcastle,0,4,1.62,2.3,0.75
West Ham,Brighton,1,1,1.5,2.63,0.25
Crystal Palace,Arsenal,1,5,1.87,2.03,1
Everton,Chelsea,0,0,1.67,2.2,0.75
Fulham,Southampton,0,0,1.57,2.38,-1.25
Leicester,Wolves,0,3,1.67,2.2,0
Man United,Bournemouth,0,3,1.57,2.38,-0.5
Tottenham,Liverpool,3,6,1.3,3.5,0.75
Man City,Everton,1,1,1.53,2.5,-1.5
Bournemouth,Crystal Palace,0,0,1.73,2.1,-0.5
Chelsea,Fulham,1,2,1.44,2.75,-1.25
Newcastle,Aston Villa,3,0,1.62,2.3,-0.5
Nott'm Forest,Tottenham,1,0,1.5,2.63,-0.25
Southampton,West Ham,0,1,1.67,2.2,0.25
Wolves,Man United,2,0,1.67,2.2,0.5
Liverpool,Leicester,3,1,1.2,4.5,-2.75
Brighton,Brentford,0,0,1.44,2.75,-1
Arsenal,Ipswich,1,0,1.4,3,-2.25
Leicester,Man City,0,2,1.36,3.2,1.5
Crystal Palace,Southampton,2,1,1.73,2.1,-1
Everton,Nott'm Forest,0,2,2.2,1.67,0
Fulham,Bournemouth,2,2,1.67,2.2,-0.25
Tottenham,Wolves,2,2,1.33,3.4,-1
West Ham,Liverpool,0,5,1.4,3,1.5
Aston Villa,Brighton,2,2,1.57,2.38,-0.5
Ipswich,Chelsea,2,0,1.44,2.75,1.25
Man United,Newcastle,0,2,1.62,2.3,0
Brentford,Arsenal,1,3,1.53,2.5,1.25
Tottenham,Newcastle,1,2,1.33,3.4,0.25
Aston Villa,Leicester,2,1,1.5,2.63,-1.5
Bournemouth,Everton,1,0,1.91,1.99,-0.75
Crystal Palace,Chelsea,1,1,1.57,2.38,0.5
Man City,West Ham,4,1,1.33,3.4,-1.5
Southampton,Brentford,0,5,1.67,2.2,0.25
Brighton,Arsenal,1,1,1.73,2.1,0.75
Fulham,Ipswich,2,2,1.73,2.1,-1
Liverpool,Man United,2,2,1.44,2.75,-1.75
Wolves,Nott'm Forest,0,3,2.1,1.73,0.25
Brentford,Man City,2,2,1.4,3,1
Chelsea,Bournemouth,2,2,1.4,3,-1.25
West Ham,Fulham,3,2,1.86,2.04,0.25
Nott'm Forest,Liverpool,1,1,1.62,2.3,1
Everton,Aston Villa,0,1,2.08,1.82,0.25
Leicester,Crystal Palace,0,2,1.73,2.1,0.5
Newcastle,Wolves,3,0,1.44,2.75,-1.5
Arsenal,Tottenham,2,1,1.44,2.75,-1.25
Ipswich,Brighton,0,2,1.73,2.1,0.5
Man United,Southampton,3,1,1.53,2.5,-1.5
Newcastle,Bournemouth,1,4,1.53,2.5,-0.75
Brentford,Liverpool,0,2,1.36,3.2,1.25
Leicester,Fulham,0,2,1.73,2.1,0.5
West Ham,Crystal Palace,0,2,1.8,2,0
Arsenal,Aston Villa,2,2,1.87,2.03,-1
Everton,Tottenham,3,2,1.67,2.2,0.25
Man United,Brighton,1,3,1.67,2.2,-0.25
Nott'm Forest,Southampton,3,2,1.73,2.1,-1.25
Ipswich,Man City,0,6,1.44,2.75,1.5
Chelsea,Wolves,3,1,1.36,3.2,-1.5
Bournemouth,Nott'm Forest,5,0,1.85,2.05,-0.25
Brighton,Everton,0,1,1.89,1.89,-0.75
Liverpool,Ipswich,4,1,1.25,4,-2.5
Southampton,Newcastle,1,3,1.41,2.7,1.25
Wolves,Arsenal,0,1,1.73,2.1,1.25
Man City,Chelsea,3,1,1.4,3,-0.5
Crystal Palace,Brentford,1,2,1.73,2.1,-0.5
Tottenham,Leicester,1,2,1.33,3.4,-1.25
Aston Villa,West Ham,1,1,1.67,2.2,-1
Fulham,Man United,0,1,1.88,2.02,-0.25
Nott'm Forest,Brighton,7,0,1.95,1.95,-0.25
Bournemouth,Liverpool,0,2,1.44,2.75,0.75
Everton,Leicester,4,0,2.04,1.86,-0.75
Ipswich,Southampton,1,2,1.73,2.1,-0.5
Newcastle,Fulham,1,2,1.62,2.3,-0.75
Wolves,Aston Villa,2,0,1.73,2.1,0.25
Brentford,Tottenham,0,2,1.33,3.4,-0.25
Man United,Crystal Palace,0,2,1.87,2.03,-0.5
Arsenal,Man City,5,1,1.73,2.1,-0.5
Chelsea,West Ham,2,1,1.4,3,-1.5
Everton,Liverpool,2,2,1.73,2.1,1.25
Brighton,Chelsea,3,0,1.57,2.38,0.25
Leicester,Arsenal,0,2,1.73,2.1,1.5
Aston Villa,Ipswich,1,1,1.57,2.38,-1.25
Fulham,Nott'm Forest,2,1,2.1,1.73,-0.25
Man City,Newcastle,4,0,1.44,2.75,-0.5
Southampton,Bournemouth,1,3,1.5,2.63,1
West Ham,Brentford,0,1,1.62,2.3,0
Crystal Palace,Everton,1,2,2.2,1.67,-0.5
Liverpool,Wolves,2,1,1.36,3.2,-2
Tottenham,Man United,1,0,1.5,2.63,0
Aston Villa,Liverpool,2,2,1.57,2.38,0.5
Leicester,Brentford,0,4,1.57,2.38,0.5
Everton,Man United,2,2,2.2,1.67,0
Arsenal,West Ham,0,1,1.67,2.2,-1.75
Bournemouth,Wolves,0,1,1.57,2.38,-1
Fulham,Crystal Palace,0,2,2.02,1.88,-0.5
Ipswich,Tottenham,1,4,1.53,2.5,0.5
Southampton,Brighton,0,4,1.57,2.38,1
Aston Villa,Chelsea,2,1,1.57,2.38,0
